Month,Day,Title,Time,Category,Details,ICS Link
OCT,6,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
OCT,12,Digital Learning Day,All Day,CCSD Digital Learning Day,,
OCT,12,Student Connections,All Day,CVA Teacher Task,Continue encouraging and connecting with students.,
OCT,14,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
OCT,22,Failing Students: Parent Contact,All Day,CVA Teacher Task,"Enter details of communication efforts with parents of failing students in Views and Tools, including parent responses when available.",
OCT,22,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
OCT,26,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
NOV,2,Senior Push Begins,All Day,CVA Teacher Task,November 2–6: Give seniors extra support and encouragement to help them finish successfully.,
NOV,3,Staff Day,All Day,CCSD Teacher Workday,,
NOV,9,Senior Push Continues,All Day,CVA Teacher Task,November 9–13: Continue supporting seniors and document conversations with families in Views and Tools.,
NOV,16,Senior Push Continues,All Day,CVA Teacher Task,November 16–20: Continue supporting seniors and document conversations with families in Views and Tools.,
NOV,23,Thanksgiving,All Day,Holiday,,
NOV,24,Thanksgiving,All Day,Holiday,,
NOV,25,Thanksgiving,All Day,Holiday,,
NOV,26,Thanksgiving,All Day,Holiday,,
NOV,27,Thanksgiving,All Day,Holiday,,
DEC,1,Digital Learning Day,All Day,CCSD Digital Learning Day,,
DEC,3,Last Day to Submit Work,11:59 PM,CVA Term Date,,
DEC,4,Complete Grading,All Day,CVA Teacher Task,Grade all submitted work.,
DEC,4,Synergy Sync Check,All Day,CVA Teacher Task,Verify CTLS and Synergy gradebooks match; report concerns to cvateachersupport@cobbk12.org.,
DEC,6,Final Exam Monitoring Begins,All Day,CVA Teacher Task,Begin monitoring final exam submissions.,
DEC,6,Final Exams,All Day,CVA Term Date,,
DEC,7,Final Exam Outreach,All Day,CVA Teacher Task,Reach out to students who have not completed the final exam.,
DEC,7,Final Exams,All Day,CVA Term Date,,
DEC,8,Final Exams,All Day,CVA Term Date,,
DEC,8,Incomplete Finals: Parent Contact,By 5:00 PM,CVA Teacher Task,Call parents/guardians of students who have not completed final exams by 5:00 PM.,
DEC,9,Course Extension,All Day,CVA Term Date,,
DEC,9,Incomplete Final Follow-Up,All Day,CVA Teacher Task,Email cvateachersupport@cobbk12.org with names of students who did not complete the final exam.,
DEC,10,Course Extension,All Day,CVA Term Date,,
DEC,10,Finalize Grades (Non-EOC),By 11:59 PM,CVA Teacher Task,Close course extension units at 8:00 PM; all non-EOC grades are due by 11:59 PM.,
DEC,11,Final Grades Due,All Day,CVA Term Date,,
DEC,11,Final Grades Posted,All Day,CVA Teacher Task,Notify students and families that final grades have been posted.,
DEC,14,Teachers Access Spring Classes,By End of Day,CVA Term Date,,
DEC,21,Christmas and New Year Break,All Day,Holiday,,
DEC,22,Christmas and New Year Break,All Day,Holiday,,
DEC,23,Christmas and New Year Break,All Day,Holiday,,
DEC,24,Christmas and New Year Break,All Day,Holiday,,
DEC,25,Christmas and New Year Break,All Day,Holiday,,
DEC,26,Christmas and New Year Break,All Day,Holiday,,
DEC,27,Christmas and New Year Break,All Day,Holiday,,
DEC,28,Christmas and New Year Break,All Day,Holiday,,
DEC,29,Christmas and New Year Break,All Day,Holiday,,
DEC,30,Christmas and New Year Break,All Day,Holiday,,
DEC,31,Christmas and New Year Break,All Day,Holiday,,
JAN,1,Christmas and New Year Break,All Day,Holiday,,
JAN,3,CCSD First Day,All Day,Teachers and Staff Calendars,,
JAN,4,Staff Day,All Day,CCSD Teacher Workday,,
JAN,5,Classes Open,All Day,CVA Term Date,,
JAN,18,"Martin Luther King, Jr. Day",All Day,Holiday,,
FEB,15,Winter Break,All Day,Holiday,,
FEB,16,Winter Break,All Day,Holiday,,
FEB,17,Holiday,All Day,Holiday,,
FEB,18,Holiday,All Day,Holiday,,
FEB,19,Holiday,All Day,Holiday,,
MAR,1,Digital Learning Day,All Day,CCSD Digital Learning Day,,
MAR,1,Registration for Summer Open,All Day,CVA Registration,,
MAR,2,First Cut Off Date,All Day,CVA Term Date,,
APR,5,Spring Break,All Day,Holiday,,
APR,6,Spring Break,All Day,Holiday,,
APR,7,Spring Break,All Day,Holiday,,
APR,8,Spring Break,All Day,Holiday,,
APR,9,Spring Break,All Day,Holiday,,
APR,29,Last Day to Submit Work,11:59 PM,CVA Term Date,,
MAY,2,Final Exams,All Day,CVA Term Date,,
MAY,3,Final Exams,All Day,CVA Term Date,,
MAY,4,Final Exams,All Day,CVA Term Date,,
MAY,5,Course Extension,All Day,CVA Term Date,,
MAY,6,Course Extension,All Day,CVA Term Date,,
MAY,7,CVA Grades Due,All Day,IMPORTANT DATE,,
MAY,19,CCSD Last Day,All Day,Teachers and Staff Calendars,,
MAY,20,Staff Day,All Day,CCSD Teacher Workday,,
MAY,21,183 End,All Day,Teachers and Staff Calendars,,
JUN,7,204 End,All Day,Teachers and Staff Calendars,,
